event_number	date	day	month	year	location	latitude	longitude	country	industry	facility	site	unit	mode	ines	ines_guess	region	description	type	status	capacity	connection_year	comments	core_relevant	origin_description	origin	cause_description	cause	lower_limit	upper_limit
338	1993-02-27	338	338	338	Buchanan, United States			United States	Energy	Plant	INDIAN POINT	3	2		1		Voluntarily shutdown of to address problems with the anticipated transient without scram mitigation system actuation circuity (AMSAC); identified deficiencies and design errors, extended restart to 2.3 years.	PWR	Operational	1085	1976		1		1		T	900.0	1500.0
340	1993-02-03	340	340	340	Bay City, United States	28.9827565	-95.969402	United States	Energy	Plant	SOUTH TEXAS	1,2	2		0		Turbine driven auxiliary feedwater pumps failed when tested, placing the unit in limiting conditions for operation; manual reactor shut down; list of items to be completed prior to restart 1.1 years later.	PWR	Operational	1354	1988;1989		?		1?		T	1600.0	2500.0
346	1992-09-10	346	346	346	Neckarwestheim, Germany	49.0474301	9.1892332	Germany	Energy	Plant	NECKARWESTHEIM	1	2	1.0	1	WE	Inaccurate signals of the reactor protection and control system due to coupling of electromagnetic impulses into one train of the redundant system of high safety relevance, during search for earth connections. Reduction of reactor power and temporary shut down of the plant for inspections.	PWR	Permanent Shutdown	840	1976	INES 1 due to inadequate test procedure (?) - no significant contributiion to CCDP as three redandant trains of the affected system remained operable	?		1		H	0.0	10.0
349	1992-06-28	349	349	349	Barseback, Sweden	55.7716614	12.9563659	Sweden	Energy	Plant	BARSEBACK	2	1	2.0	2	NE	During restart after revision, leaking water from the primary cooling circuit carried mineral wool away from neighbouring pipes; filters of the emergency pumps were clogged causing failure of the related system for a few hours; no core damage due to low decay heat.	BWR	Permanent Shutdown	615	1977	High cost due to industry impact; downtime and backfits.	1		1		T	650.0	2000.0
351	1992-05-13	351	351	351	Boisar, India	19.7988054	72.7616161	India	Energy	Plant	TARAPUR	1			3	A	Sudden drop in reactor power and pressure and emergency consenser shell side water level went off scale; emergency condenser loop A was isolated and generation improved, and all parameters got normalised. Unit operation was continued with emergency condenser loop A isolated; due to the incident, minor radioactivity got released through the emergency condenser vent. Down for two months.	BWR	Operational	160	1969		1		1		T	13.0	17.0
352	1992-04-21	352	352	352	Southport, United States	33.921563	-78.0202677	United States	Energy	Plant	BRUNSWICK	1,2	2		0		Irregularities in the construction of the building housing the emergency diesel generators during special inspection; voluntary shutdown of both units; restart unit 1 after 1.8 years / unit 2 after 1.1 years, due to detailed inspection of structural components and major upgrades.	BWR	Operational	990;960	1976;1975	Construction/fabrication issue	?	structural defects in the EDG building	3?	systematic problems	H	1340.0	1580.0
353	1992-03-24	353	353	353	Sosnovyy-Bor, Russia	57.1886751	55.1215163	Russia	Energy	Plant	LENINGRAD	3	2	2.0	3 or 4	EE	During refueling, a loss of pressure in one of the pressure seals affected the respective fuel channel;  release of radioactive gas including I-131 via filters (?) above or below permissible value; reactor stoppage and cool down.	LWGR	Operational	1000	1979		?		1		T	1.0	100.0
357	1991-11-17	357	357	357	Oswego, United States	41.6789932	-88.3550216	United States	Energy	Plant	FITZPATRICK	Single	2		1		Voluntarily shut down, to comply with terms in its operating license, e.g. assured closing of isolation valves of the core spray system; extended outage to fix problems with fire protection and containment isolation valves, and management deficiencies, ended by Jan '93.	BWR	Operational	849	1975	Further information needed.	?		1		T	637.5	737.5
358	1991-09-23	358	358	358	St. Vulbas, France	45.8306	5.28959	France	Energy	Plant	BUGEY	3	3	2.0	2	WE	A leak was identified during the decennial primary circuit pressure test on the support of the control rod drive mechanisms that was going through the reactor vessel head.	PWR	Operational	945	1978	candidate for precursor study	1		1		T	2000.0	4000.0
362	1991-04-03	362	362	362	New Hill, United States	35.6809856	-78.9355668	United States	Energy	Plant	HARRIS	1	2		1		Discovered damaged piping and valves within the alternate minimum flow system, provided for the pumps in the emergency core cooling system; restart after repair.	PWR	Operational	960	1987		1		1		T	0.0	10.0
363	1991-03-11	363	363	363	Brunsbuettel, Germany	53.8972549	9.1395423	Germany	Energy	Plant	BRUNSBUETTEL	Single	2?	1.0	1	WE	Failure of a feedback signal regarding the position of a penetration valve of the intermediate cooling system due to damaged control cable; manually closing of the affected valve.	BWR	Permanent Shutdown	806	1976	INES 1 ? - no acute safety relevance - omit (?)	?		1		T	0.0	0.0
365	1991-02-09	365	365	365	Mihama, Japan	35.631213	140.06521	Japan	Energy	Plant	MIHAMA	2	2	3.0	3	A	Leakage of about 55 tons of primary coolant, into the secondary coolant loop, due to breaking off of a tube in a steam generator; reactor automatically shut down and cooled by the emergency core cooling system; release of steam from the main relief valve, with small amounts of radioactive noble gas and iodine, 2.3x10^10 and 3.4x10^8 Bq. respectively.	PWR	Permanent Shutdown	500	1972		1		1		T	1000.0	2000.0
367	1991-01-16	367	367	367	Geesthacht, Germany	53.4397121	10.3682538	Germany	Energy	Plant	KRUEMMEL	Single	2?		1	WE	Non-closure of a penetration valve of an intermediate cooling system; isolation of the penetration by closing of the second (redundant).	BWR	Permanent Shutdown	1402	1983	INES 1 ? - no acute safety relevance - omit (?)	?		1		T	0.0	0.0
370	1990-10-30	370	370	370	Cruas, France	44.6571316	4.7625644	France	Energy	Plant	CRUAS	4	2	1.0	1	WE	The explosion of a 6.6 kV commutator caused a fire that entailed the loss of one of the two electrical safety circuits; the destruction of the commutator was caused by the degradation of elastic washers due to the exposure to heat - subsequently, the second line was found to be affected in the same way.	PWR	Operational	956	1984	Potential CCF	?		2		T	1.0	10.0
371	1990-09-25	371	371	371	Pickering, Canada	43.835765	-79.090576	Canada	Energy	Plant	PICKERING	2	2		2		"“Severe flux tilt"", with large power shifts in the reactor core, caused in part by the CANDU-specific design. Staff spent two days trying to stabilize the reactor core before shutting it down, and were later criticized by the authority (AECB) for not shutting it down immediately."	PHWR	Permanent Shutdown	542	1971	further physical information desirable to assess risk of severe transient	?		1		H	0.0	10.0
373	1990-03-20	373	373	373	Waynesboro, United States	38.0652286	-78.9058876592407	United States	Energy	Plant	VOGTLE	1,2	2		2		At about 9:20 a.m., a truck backed into a support column for the feeder line in the low voltage switchyard, suppying power to one the reserve auxiliary transformers (RAT), each of unit 1 and 2, resulting in a pertinent loss of power. The associated unit 2 emergency diesel generator (EDG) started and loaded the deenergized vital bus. However due to another electrical fault the turbine and reactor were tripped -  without any complication. Both (crosstied) vital buses of unit 1 were deenergized an the available EDG startet but shut down automatically after 1.5 minutes; loss of all vital ac power for more than 15 minutes with subsequent shut down of operating reactor heat removal pump, while the standby pump could not be started. Reactor system coolant heat-up, core cooling was reestablished at 11:03 a.m.	PWR	Operational	1229	1987;1989	Interesting event for further study showing complex behavior of dual crosstied plants at different plant states; potential for lessons for PSA	1		3		H	1.0	10.0
375	1989-11-24	375	375	375	Greifswald, Germany	54.095791	13.3815238	Germany	Energy	Plant	GREIFSWALD	5	2		3	WE	Projected shut-off of three main coolant pumps to test automatic reactor shutdown under tilt conditions which failed to function; another pump failed causing overheating 10 to 30 fuel elements before reactor was shutdown manually after 40 to 50 seconds; no core melt, no radioactivity released; permanent plant shut down (after national reunion) due to major safety deficits.	PWR	Permanent Shutdown	440	1989	Precursor CCDF>10-4/demand	1		1		T	650.0	8600.0
376	1989-10-19	376	376	376	Vandellos, Spain	40.99847575	0.849298501814934	Spain	Energy	Plant	VANDELLOS	1	2	3.0	3	WE	A fire at one of its turbines impaired important nuclear safety functions (challenges to core cooling), and due to economic/political reasons unit had to permanently shutdown; no damage/release [a137]	GCR	Permanent Shutdown	500	1972		1		2		T	600.0	3900.0
377	1989-10-09	377	377	377	Haddam Neck, United States	41.5115172	-72.5121998860402	United States	Energy	Plant	HADDAM NECK	Single	2		2		480 fuel rods were slightly damaged during the operating cycle, by metal chips present in the coolant system after repairing of the thermal shield during preceding outage without maintaining cleanliness standards and imposing restrictions.	PWR	Permanent Shutdown	603	1967	Not a precursor	0		1		H	0.0	10.0
379	1989-08-16	379	379	379	Gravelines, France	50.9870697	2.1273118	France	Energy	Plant	GRAVELINES	1	2	3.0	3	WE	The mounting of an inappropriate type of screws onto pressure relief valves on the primary circuit would have rendered the overpressure protection system inefficient - the valves would have opened and closed significantly later than under design basis conditions.	PWR	Operational	951	1980	candidate for precursor study	1		1		H	0.0	0.0
380	1989-03-17	380	380	380	Lusby, United States	38.3563005	-76.4414308704519	United States	Energy	Plant	CALVERT CLIFFS	1,2	1		1		Unit 1 shutdown to inspect pressurized heater sleeves for cracks, after such cracks were discovered on unit 2 during refueling outage; repair of sleeves, and management changes, caused outage extension of 1.4 (unit 1) and 2.1 years (unit 2).	PWR	Operational	918;911	1975;1976		0	Pressurizer	1	stress corrosion; safety culture	T;H	1500.0	2500.0
381	1989-03-05	381	381	381	Wintersburg, United States	33.4244571	-112.8680151	United States	Energy	Plant	PALO VERDE	1	2		1		Automatic reactor trip from full power operation due to a false signal from the core protection calculator; ahead of schedule outage lasted 1,3 years to resolve a series of problems,  ignored before, and replacement/repair of pressurized relief valves.	PWR	Operational	1414	1985		?		1		T	600.0	1000.0
382	1989-03-07	382	382	382	Cornelius, United States	35.4817982	-80.8589501	United States	Energy	Plant	MCGUIRE	1	2		1		1,900 liters leak per minute (?) developed in steam generator (SG) B caused by IGSCC on the outside diameter of the effected tube. Operators implemented tube leakage procedure and initiated a manual reactor trip 8 to 9 minutes later, began to isolate the SG and initiated reactor cool down and depressurization. By 17 hours (? what was initial time, or was this the duration ?), both trains of the residual heat removal system were in service. Degassing of the secondary circuit led to a release of radioactivity well within the limits of the technical specifications.	PWR	Operational	1215	1981		1		1		T	1.0	10.0
384	1988-11-22	384	384	384	Pickering, Canada	43.835765	-79.090576	Canada	Energy	Plant	PICKERING	1	1		3		Power excursion, due to operator error while raising power to avoid a shutdown, following Xenon buildup, caused damage to 36 out of 191 fuel rods, and contamination of the primary cooling system by radioactive iodine.	PHWR	Operational	542	1971	Precursor. CDF>10^-4. Beyond design basis conditions for ECCS?	1		1		H	1.0	10.0
385	1988-10-19	385	385	385	Buchanan, United States			United States	Energy	Plant	INDIAN POINT	3	2		1		A primary-to-secondary leak increased rapidly to 7.6 liters per minute in 2 hours, 7 times greater than the technical specification limit; radition monitoring equipment and leak rate monitoring procedures showed deficits.	PWR	Operational	1085	1976	INES 1 due to deficit in configuration of (safety relevant) monitoring equipment	0		1		T	1.0	10.0
386	1988-09-10	386	386	386	Gravel Neck, United States	37.370784	-77.463239	United States	Energy	Plant	SURRY	2	1		1		Transient induced automatic trip while shutting the reactor down for refueling outage; outage extended to one year due to discovery of pipe wall thickness thinning at fast rate and replacement of many sections, as well as fixing problems with motor-operated valves, emergency diesel generators and control room ventilation system.	PWR	Operational	890	1973	Lack of official information	?	Main feedwater pump, refueling cavity floor seal, EDG, control room envelope ventilation system	1,2		T;H	421.0	511.0
387	1988-06-18	387	387	387	Tihange, Belgium	50.527586	5.259369	Belgium	Energy	Plant	TIHANGE	1	2		2	WE	A sudden leak occurred in a short, un-isolatable section of the emergency core cooling system piping, which is connected to the hot leg of loop 1 of the reactor core cooling system, while the reactor was operating; notification by the operator after increases in radioactivity and moisture in the containment, and decrease of water level in the volume control tank.	PWR	Operational	1009	1975		1		1		T	0.0	0.0
388	1988-03-25	388	388	388	Limerick, United States	40.2309343	-75.5221245	United States	Energy	Plant	LIMERICK	1	2		0		The reactor was operated over several months with copper concentrations in the reactor coolant at twice the recommended limit, weakening the fuel rod barrier metal. Subsequent fuel rod failures caused reactor power to be limited to 50 percent for the remaining six months of the fuel cycle.	BWR	Operational	1194	1985	Not a precursor	0		1		H	160.0	210.0
389	1987-12-19	389	389	389	Scriba, United States	43.465347	-76.430493	United States	Energy	Plant	NINE MILE POINT	1			?		Manual reactor shut down in response to feedwater flow fluctuations caused by vibrating piping; failing to renew license due to numerous problems, e.g., with the core spray system; in summer '89 regulator found excess water dumped into the radioactive waste building, and dozens of drums spilling the highly radioactive contents; restart after 2.6 years.	BWR	Operational	642	1969		?	core spray system, feedwater system piping	1,2		H	1250.0	1600.0
390	1987-12-16	390	390	390	Biblis, Germany	49.6879986	8.4534916	Germany	Energy	Plant	BIBLIS	A	1	1.0	1	WE	Operator did not notice failure-to-close of one out of two valves of an emergency core cooling pipe during reactor restart; second follow up shift tried to deblock valve by missusing a parallel valve of a check line not designed for high operating pressure; opening of relief valve and release of radioactive steam into a room at the containment; closure of valve of check line.	PWR	Permanent Shutdown	1225	1974		?		1		H	1.0	10.0
391	1987-07-15	391	391	391	Mineral, United States			United States	Energy	Plant	NORTH ANNA	1	2		1		A tube of the steam generator C ruptured and led to primary-to-secondary circuit leak; it resulted from high cycle fatigue and the licensee was not fully aware of leakage experienced prior to the rupture.	PWR	Operational	990	1978	INES 1 due to deficit in safety culture (imprudent operation)	0		1		H	1.0	10.0
394	1987-03-31	394	394	394	York County, United States	39.9067499	-76.7008946	United States	Energy	Plant	PEACH BOTTOM	2,3			1		Recurring equipment problems, frequency of forced outages and operators sleeping on the job (along with other management problems) forced shutdown finally of both units until Dec 89.	BWR	Operational	1412	1974		?		?	declining performance	H	2500.0	3500.0
395	1986-12-09	395	395	395	Gravel Neck, United States	37.370784	-77.463239	United States	Energy	Plant	SURRY	2	2		3		Catastrophic failure of a suction line of a feed water pump during full power operation, triggered by a main steam line valve failing closed and subsequent pressure increase; reactor fast shutdown and cool down; the steam released by the rupture, caused by severe pipe corrosion and disabled check valve, damaged equipment and resulted in 8 workers injuries, four died later; the event cascaded from the non-nuclear-part across safety-grade systems causing accident management problems.	PWR	Operational	890	1973	INES 3 omitting fatalities.	1		1		T	75.0	96.0
397	1986-04-26	397	397	397	Pripyat, USSR_Ukraine			USSR_Ukraine	Energy	Plant	CHERNOBYL	4	2	7.0		EE	Flawed reactor design and mishandled reactor safety test caused power excursion and steam explosion that destroyed reactor (no containment dome), followed by uncontrollable graphite burning, and meltdown of the remaining core; large release of fuel and radioactive substances; 31 workers/firemen died shortly, several further deaths later; more than 350'000 people evacuated and resettled; 100'000 sq-km contaminated; 4'000 people estimated to die from radiation; loss of site; new shelter under construction.	LWGR	Permanent Shutdown	1000	1983	Design problematic.	1		1		T/H	578336.0	768336.0
398	1986-04-11	398	398	398	Plymouth, United States	41.9584367	-70.6672577	United States	Energy	Plant	PILGRIM	1			?		Recurring equipment problems led to outage; early restarts but shutdowns due to problems with instrumentation, dry well vacuum breakers, and instrument air system; outage extended to 3.2 years due to replacement of main transformer.	BWR	Operational	711	1972		?	RHR, main transformer, …	1,2	declining performance	T;H	1610.0	1910.0
402	1985-12-26	402	402	402	Sacramento, United States			United States	Energy	Plant	RANCHO SECO	1	2		3		"Following the loss of integrated control system (ICS), unit tripped and an overcooling transient occurred. Plant responded as designed; the auxiliary feedwater (AFW) ICS flow control valves, as well as other valves, went to the 50-percent open position. The auxiliary feedwater flow was excessive. When the local manual attempt to close the flow control valve to the ""A"" once-through steam generator (OTSG) was unsuccessful, the operator attempted to close the manual isolation valve. This isolation valve could not be moved, even when a valve wrench was used due to lack of any maintenance on valve during life of the plant. Restoration of power within 26 min. Fixing of design flaws and weaknesses during 2.3 years outage."	PWR	Permanent Shutdown	917	1974		1		?		?	700.0	1500.0
403	1985-12-18	403	403	403	Forked River, United States	39.8398413	-74.1901399	United States	Energy	Plant	OYSTER CREEK	Single	2		1 to 2		Power was increased too rapidly causing both excessive flux peaks and excessive local power increase rates; computer program data, relied upon to guide power increases, was inappropriately based on previous fuel cycle operating data; fuel rod failures resulted in increased levels of gaseous activity; no release.	BWR	Operational	652	1969	Precursor. 2 relevant safety systems. Inoperability per demand implies CDF 10^-4 for ATWS after failure of automated shutdown system, failure of operator to manually scram the reactor or to start the boron injection system plus emergency core cooling/SG feed systems beyond design specifications. Potential CCF if code used elsewhere.	1		1		H	0.0	0.0
405	1985-06-14	405	405	405	Lima, Argentina	-34.0446637	-59.196098	Argentina	Energy	Plant	ATUCHA	1	2		2	SA	Operators asked to increase power of plant operating in a load following mode; control rod motion resulted in high power peaking and 46 fuel rods to fail, releasing fuel pellets into the reactor coolant system, after misinterpretation of indications and continued reactor operation; no release, restart after about two months.	PHWR	Operational	362	1974	Potential blockage of flow.	1		1		H	25.0	35.0
406	1985-06-09	406	406	406	Ottawa, United States	41.3516628	-88.845436	United States	Energy	Plant	DAVIS BESSE	1	2		3		Loss of feedwater. The reactor tripped with MainFeedwater (MFW) Pump 1 tripped and MFW Pump 2 was unavailable.  Operators made an error in initiating the steam and feedwater rupture control system and isolated auxiliary feedwater (AFW) to both steam generators(SGs).  The PORV actuated three times and did not reseat at the proper RCS pressure.  Operators closed the PORV block valves, recovered AFW locally, and used High-Pressure Injection (HPI) Pump to reduce RCSpressure. Provoked investigations where inspectors revealed that maintenance had discovered cracks in the reactor coolant pump shafts; restart 1,5 years later after repair.	PWR	Operational	925	1977	Major precursor. CCDF 1x10-.	1		1		T/H	871.0	1006.0
409	1984-12-19	409	409	409	Forked River, United States	39.8398413	-74.1901399	United States	Energy	Plant	OYSTER CREEK	Single	1		2		Control rods were withdrawn to increase power. Local power exceeded prescribed limits when the on-line core monitoring system, not properly programmed and tested, underestimated peaking power. Gaseous activity subsequently increased. Post-shutdown inspection found fuel damaged in 44 assemblies.	BWR	Operational	652	1969	Precursor (INES 1), requiring physical modeling of reactor. Improper programming and testing as potential CCF.	1		1		H	0.0	0.0
410	1984-09-15	410	410	410	Decatur, United States	39.8454163	-88.9524151	United States	Energy	Plant	BROWNS FERRY	1,2,3	2		1		Deficiencies caused by programmatic weaknesses, unqualified personal, non-compliance with fire protection regulations; operation suspended of all three units for resolution of programmatic weaknesses; unit 2 down until 1990 (5 yrs), unit 3 until 1994 (10 yrs), and unit 1 until 2006 (20 yrs).  Both units at Sequoyah also shut down. Restart of unit 2 early 88 after independent evaluations and repairs, unit 1 followed late 88.	BWR	Operational	1155	1973;1974;1976		?		?	programmatic weaknesse	H	8800.0	10200.0
412	1984-06-23	412	412	412	Platteville, United States	40.2149829	-104.8227494	United States	Energy	Plant	FORT ST. VRAIN	Single	1		2		Recurring problems with moisture intrusion into the primary helium circuit caused  failure of 6 out of 37 control rod pairs to insert upon high pressure scram signal at low power level; outage extended to 1.8 years as tests revealed damage of the reserve shutdown system.	HTGR	Permanent Shutdown	342	1976		1		1		T	100.0	300.0
413	1984-05-16	413	413	413	Fort Calhoun, United States	41.4558282	-96.0264024	United States	Energy	Plant	FORT CALHOUN	1	1		1		A tube rupture occurred during plant startup after a refueling outage, while the reactor coolant system was being pressurized for a leak test. It took the operators more than 32 minutes to recognize that a tube rupture had occurred in the B steam generator, and about 40 minutes to isolate the affected steam generator and begin a cooldown of the reactor coolant system. The operator actions after about 40 minutes were effective, however. The leak resulted in a primary system depressurization with no release of radioactivity into the environment. The reactor coolant system remained above the defective steam generator secondary pressure during most of the transient and the defective steam generator overfilled.	PWR	Permanent Shutdown	512	1973	improper early operator response - no major safety significance, similar to other SG tube leak events	1		1		T;H	1.0	10.0
414	1985-03-19	414	414	414	York County, United States	39.9067499	-76.7008946	United States	Energy	Plant	PEACH BOTTOM	2	2				(IGSCC) Scheduled outage to replace recirculation system piping; outage extension to 1,2 years as other equipment problems surfaced.	BWR	Operational	1412	1974		0		1		T	500.0	900.0
415	1984-04-14	415	415	415	St. Vulbas, France	45.8306	5.28959	France	Energy	Plant	BUGEY	1 or 2 or 3 or 4 or 5	2		3	WE	Defect in the design of electrical cables linked to the control command center led to a failure led to a failure blacking out unit; reactor shutdown and power supply by emergency diesels; plant operation continued until 1994.	GCR/PWR					1		1		T	1.0	10.0
416	1983-12-10	416	416	416	Plymouth, United States	41.9584367	-70.6672577	United States	Energy	Plant	PILGRIM	1	2				(IGSCC) Plant shut down for planned 10 month outage to replace cracked recirculation system piping; restart after 1.1 years.	BWR	Operational	711	1972		?		1		T	300.0	600.0
419	1983-09-26	419	419	419	Pope, United States	37.3933531	-88.5904425	United States	Energy	Plant	ANO	1	2		2		Realignment of a control rod, misaligned for 12 days, at full power operation resulted in xenon oscillations, increasing high local power peaking and damaging the fuel leading to increasing gaseous activity.	PWR	Operational	903	1974	Similar to E#403	1		1		H	0.0	0.0
421	1983-09-07	421	421	421	Decatur, United States	39.8454163	-88.9524151	United States	Energy	Plant	BROWNS FERRY	3	2		1		(IGSCC) During mandated inspection, serious cracking was found in the recirculation system piping; replacement of affected sections slowed by concurrent problems affecting all three units; restart Nov. 1984	BWR	Operational	1155	1976		1		1		T	600.0	900.0
422	1983-08-01	422	422	422	Pickering, Canada	43.835765	-79.090576	Canada	Energy	Plant	PICKERING	1,2	2		1		A two meter-long split of a pressure tube as a result of the mislocation of annulus gas spacer springs; small loca; local fuel damage and safe reactor shutdown by the operators with no increase in radioactive emissions; restart after about 5 years.	PHWR	Operational;Permanent Shutdown	542;542	1971;1971	The pressure tube failure was a result of unexpectedly high levels of deuterium in the Zircaloy-2 bulk metal, and contact between the pressure tube and calandria tube for a period of seven to ten years	0		1		T	3320.0	5070.0
423	1983-03-09	423	423	423	Gravel Neck, United States	37.370784	-77.463239	United States	Energy	Plant	SURRY	1			1		Fuel rods were discovered damaged due to metal chips that had been left in the reactor coolant system after replacement of steam generators without necessary standards of cleanliness; removal of contamination over 5 years of operation.	PWR	Operational	890	1972	Not a precursor	0		1		H	10.0	100.0
424	1983-02-26	424	424	424	Fort Pierce, United States	27.4467056	-80.3256056	United States	Energy	Plant	St. LUCIE	1	2		1		Workers discovered damaged thermal shield and core barrel support inside the reactor vessel during refueling outage; removal and repair required a 13 month shutdown.	PWR	Operational	1045	1976		?		1		T	600.0	800.0
425	1982-10-15	425	425	425	Metsamor, USSR_Armenia			USSR_Armenia	Energy	Plant	ARMENIAN	1	?		3	EE	Switching of reserve service water (boron) pump to vital 6 kW bus ordered during maintenance of any ordinary service water pump; several attempts to start pump after initial failure, followed by a short circuit in the terminal block leading to overheating of cables and finally to a fire in cable compartments and ignition of a bunch of control cables in the main control room 1, resulting in numerous failures in the operation system; all control rods dropped, emergency protection system activated, turbines stopped and generators disconnected from the grid, loss of service transformer due to cable ignition and loss of all main circulation pumps and of vital reliable power supply buses; activation and switching off of two diesel-generators due to short circuit or by the protection system; manual steam dumping by manual operation of the reelief system, core cooling by natural convection; spontaneous short-term operation of feed water pumps and a series of malfunctions and short circuits led to a total plant blackout almost three hours later; more than 5 hours later one of the high pressure injection pumps became operational and 6 ½ hours later all fires were liquidated and the feedwater injection pump was activated, necessary to fill the steam generators and provide primary circuit cooling. Analysis of the emergency shutdown and core cooling showed that the reactor was sufficiently cooled; radiochemical analysis did not reveal damage of fuel elements; after recisions of rules for the design of emergency electric supply (physical and functional separation) and pertinent repairs the plant was restarted in Sept. 1982, and permanently shutdown in 2/1989.[a137]	PWR	Permanent Shutdown	408	1976	serious precursor/forerunner. Opaque official descriptions. Lessons from Browns Ferry not learned. Questionable operating conditions in Armenia.	1		2		H;T	150.0	250.0
426	1982-09-09	426	426	426	Pripyat, USSR_Ukraine			USSR_Ukraine	Energy	Plant	CHERNOBYL	1		5.0	5	EE	Rupture of one of 1640 pressure pipes at 9.6m from the top, due to insufficient flow of coolant; nearby graphite blocks were washed out by water/steam, fuel was sucked into the rupture hole; contamination of reactor building and release of radioactive aerosols through ventilation stock; plant was restarted after repair	LWGR	Permanent Shutdown	800	1977		1		1		T	10.0	100.0
427	1982-06-28	427	427	427	Oconee, United States	33.829579	-83.4275918	United States	Energy	Plant	OCONEE	2	2		1		While operating at 95% power, a 4-square-foot rupture occurred in a small diameter elbow in a feedwater heat extraction line. The reactor was manually tripped, a steam jet destroyed a non-safety-related load center and certain non-safety-related instrumentation; personnel were hospitalized overnight with steam burns.	PWR	Operational	891	1973	no significant safety relevance - technical, secondary - omit (?)	0		2		T	1.0	10.0
429	1982-03-25	429	429	429	Buchanan, United States			United States	Energy	Plant	INDIAN POINT	3	2		2		Small steam generator tube leak allowed (radioactive) primary coolant water into the secondary circuit; water found leaking through steam generator shell onto the containment floor due to cracks in the girth weld area; repair works and damage to the main generator after first restart forced plant down for about 1.2 years.	PWR	Operational	1085	1976		1		1		T	500.0	700.0
430	1982-03-20	430	430	430	Scriba, United States	43.465347	-76.430493	United States	Energy	Plant	NINE MILE POINT	1	2		2		(IGSCC) Plant was shut down after cracks were found in two sections of the reactor's twenty-eight-inch diameter recirculation piping; piping replaced; returned to service in 6/1983.	BWR	Operational	642	1969		1		1		T	510.0	600.0
432	1982-01-25	432	432	432	Ontario, United States	34.065846	-117.6484304	United States	Energy	Plant	GINNA	Single	2		1		A 2,900 liters per minute leak developed in steam generator (SG) B caused by foreign parts that fell onto the tubesheet outside the periphery of the tube bundle during earlier modification works. The operators began a power reduction at 1.5 minutes, at 3 minutes the reactor was automatically shutdown and all three safety injection pumps and followed by start of the auxiliary feed pumps started after main feed water isolation; at 5 minutes all the main steam dump valves were in closed condition and the initial reactor coolant system depressurization stopped. At 15 minutes the defective steam generator was isolated and plant cooldown was continuing by natural circulation in loop A and dumping steam from SG A to the main condenser during the first two hours. Following a set of highly complicated actions and system responses including steam relief from SG A to atmosphere; at roughly 21 1/2 hours the residual heat removal system was placed in operation. Minor release of radioactivity.	PWR	Operational	608	1969	of potential interest for precursor study	1		1		T	80.0	150.0
434	1981-09-20	434	434	434	Baxley, United States	31.7782514	-82.3484618	United States	Energy	Plant	HATCH	1	2		2		Large amounts of cold feedwater were added to the reactor vessel, causing a power transient controlled by insertion of control rods; the utilized geometry resulted in increased power peaking and fuel failures resulting in air ejector activity to rise to 0.3 Ci per second.	BWR	Operational	911	1974		1		1		H	0.0	5.0
436	1981-02-11	436	436	436	Florida City, United States	25.4480101	-80.479102	United States	Energy	Plant	TURKEY POINT	3,4	2		1		Voluntarily shut down after futile steps taken to limit steam generator tube degradation rate; replacement of all six steam generators, unit 3 down 210 days (in 1981), unit 4 down 183 days (in 1982)	PWR	Operational	829	1972;1973		0	Steam generator	1	tube degradation	T	820.0	910.0
442	1980-03-13	442	442	442	Saint-Laurent-des-Eaux, France			France	Energy	Plant	ST. LAURENT	A2	2	4.0	4	WE	A malfunctioning cooling system fused fuel elements together at the reactor and ruined the fuel assembly that forced an extended shutdown for 2.5 years. [a93]	GCR	Permanent Shutdown	530	1971	Precursor beyond design conditions (CCDF ~10^-2)	1		1		T	500.0	1000.0
446	1979-06-25	446	446	446	Doel, Belgium	51.31762105	4.24520534190642	Belgium	Energy	Plant	DOEL	2	1		1	WE	A 510 liters per minute leak developed in steam generator B, due excessive residual stresses caused by ovalization of the tubing during fabrication. Despite operator efforts to control the primary system pressure and pressurizer level, automatic high pressure safety injection began at about 19 minutes and caused the pressurizer to become filled with water. The auxiliary feedwater flow to both steam generators automatically started at 41 minutes and then the flow to the defective steam generator was stopped 9 minutes later. The residual heat removal system began operation at 3 1/4 hours. The operators were generally successful in keeping a sufficiently high degree of subcooling in the primary system by shutting down the loop B main coolant pump (a source of heat) and controlling the pressure. No release.	PWR	Operational	454	1975	of potential interest for precursor study	1		1		T	1.0	10.0
447	1979-03-28	447	447	447	Dauphin, United States	40.398036	-76.8115168	United States	Energy	Plant	THREE MILE ISLAND	2	2	5.0	5		Failure in the secondary circuit; reactor scram followed pressure increase in the primary system; a relief valve opened but stuck falsely open; without adequate information from the staff, finally the reactor was starved of coolant, resulting in a severe meltdown and troublesome phenomena; some radioactive gas released, no injuries or adverse health effects, loss of plant; cleanup from 1980 to 1993.	PWR	Permanent Shutdown	959	1978		1		2		T/H	98000.0	190000.0
449	1979-02-04	449	449	449	Gravel Neck, United States	37.370784	-77.463239	United States	Energy	Plant	SURRY	1,2	2		1		Voluntarily shut down to replace tube bundles in steam generators after degradation had been evident for at least four years; restart by August '80 with three repaired steam generators.	PWR	Operational	890	1972;1973		0		1		T	1280.0	1510.0
